Project County,Project City,Gas Utility,Electric Utility,Total Project Cost,Pre-Retrofit Home Heating Fuel Type,Year Home Built,Size Of Home,Number Of Units,Job Type,Type Of Dwelling,Measure Type,Estimated Annual kWh Savings,Estimated Annual MMBtu Savings,First Year Modeled Project Energy Savings $ Estimate,size_of_home_flag,Location_1_latitude,Location_1_Longitude,Project Completion Year,Project Completion Month,Project Completion Day,Age of Home
Oneida,Boonville,National Grid,National Grid,8238.0,Oil,1964,1536,1,Home Performance,Single Family,Building Shell,689.0,49.0,6.99117688712121,0,43.48398,-75.335415,2022,6,28,58
Kings,Brooklyn,National Grid,Consolidated Edison,5038.0,Natural Gas,1939,840,1,Home Performance,Single Family,Building Shell,0.0,20.0,5.717027701406222,0,40.650265,-73.927795,2022,6,23,83
Queens,Queens,National Grid,Consolidated Edison,9994.0,Natural Gas,1928,2299,1,Home Performance,Single Family,Building Shell,269.0,56.0,6.51025834052315,0,40.69992,-73.80949,2022,5,24,94
Oneida,Camden,National Grid,National Grid,8475.0,Oil,1931,1368,1,Home Performance,Single Family,Building Shell,0.0,52.0,6.9782137426306985,0,43.3367062,-75.7482485,2022,5,17,91
Oneida,Lee Center,National Grid,National Grid,6981.0,Pellets,1933,1100,1,Home Performance,Single Family,Building Shell,510.0,35.0,6.406879986069314,0,43.302289,-75.5188154,2022,5,17,89
Oneida,Remsen,National Grid,National Grid,7678.0,Propane,1990,1008,1,Home Performance,Mobile,Building Shell,0.0,21.0,6.434546518787453,0,43.3244276,-75.1890252,2022,5,12,32
Oneida,Rome,National Grid,National Grid,6844.0,Propane,1929,1710,1,Home Performance,Single Family,Building Shell,301.0,25.0,6.4692503167957724,0,43.21118,-75.458425,2022,4,5,93
Montgomery,Fort Plain,National Grid,National Grid,9550.0,Kerosene,1995,1472,1,Home Performance,Mobile,Building Shell,0.0,24.0,6.406879986069314,0,42.9297647,-74.6269854,2022,4,5,27
Onondaga,Syracuse,National Grid,National Grid,5394.0,Natural Gas,1895,2584,1,Home Performance,Single Family,Building Shell,510.0,26.0,5.849324779946859,0,43.047035,-76.108085,2022,3,29,127
Oneida,Rome,National Grid,National Grid,4069.0,Natural Gas,1908,2220,1,Home Performance,Single Family,Building Shell,380.0,25.0,5.7745515455444085,0,43.21118,-75.458425,2022,3,24,114
Queens,Queens,National Grid,Consolidated Edison,4122.0,Natural Gas,1953,1152,2,Home Performance,Single Family,Building Shell,1521.0,26.0,6.6039438246004725,0,40.694725,-73.73937,2022,3,8,69
Wayne,Wolcott,Rochester Gas & Electric,Rochester Gas & Electric,27591.0,Wood,1902,1608,1,Home Performance,Single Family,Building Shell,-764.0,182.0,7.399398083331354,0,43.2204905,-76.8164533,2022,2,22,120
Oneida,Utica,National Grid,National Grid,6279.0,Natural Gas,1930,1560,1,Home Performance,Single Family,Building Shell,572.0,12.0,5.327876168789581,0,43.09528,-75.22754,2022,2,8,92
Erie,Buffalo,National Grid,National Grid,10721.0,Natural Gas,1949,1691,1,Home Performance,Single Family,Building Shell,510.0,89.0,6.720220155135295,0,42.90832,-78.83677,2022,1,11,73
Oneida,Boonville,National Grid,National Grid,9230.0,Oil,1926,1760,1,Home Performance,Single Family,Building Shell,1110.0,34.0,6.732210706467206,0,43.48398,-75.335415,2021,12,14,95
Lewis,Lyons Falls,New York State Electric & Gas,National Grid,3908.0,Other,1935,1056,1,Home Performance,Single Family,Building Shell,443.0,15.0,6.45833828334479,0,43.6197333,-75.3653622,2021,12,14,86
Orange,Chester,Orange & Rockland,Orange & Rockland,12780.0,Oil,1949,3588,1,Home Performance,Single Family,Building Shell,0.0,114.0,7.821242083523558,0,41.357035,-74.27481,2021,11,2,72
Bronx,Bronx,Consolidated Edison,Consolidated Edison,3712.0,Oil,1922,2052,1,Home Performance,Single Family,Building Shell,510.0,29.0,6.663132695990803,0,40.865445,-73.90126,2021,10,19,99
Oneida,Blossvale,National Grid,National Grid,7621.0,Propane,1951,1134,1,Home Performance,Single Family,Building Shell,208.0,24.0,6.565264970035361,0,43.2108091,-75.7224284,2021,10,12,70
Oswego,Pennellville,National Grid,National Grid,4684.0,Oil,1966,1500,1,Home Performance,Single Family,Building Shell,1230.0,11.0,5.908082938168931,0,43.2324863,-76.2209251,2021,8,26,55
Herkimer,Mohawk,National Grid,National Grid,2788.0,Oil,1928,1350,1,Home Performance,Single Family,Building Shell,623.0,4.0,5.003946305945459,0,43.0079193,-75.0060305,2021,7,13,93
Erie,Buffalo,National Fuel Gas Distribution,National Grid,10453.0,Other,1937,1820,1,Home Performance,Single Family,Building Shell,0.0,64.0,6.313548046277095,0,42.96566,-78.873825,2021,7,6,84
Saratoga,Hadley,National Grid,National Grid,6600.0,Propane,1984,952,1,Home Performance,Mobile,Building Shell,721.0,24.0,5.8805329864007,0,43.288235,-74.01149,2021,6,21,37
Oneida,Lee,National Grid,National Grid,8783.0,Propane,1921,1736,1,Home Performance,Single Family,Building Shell,1483.0,18.0,6.150602768446279,0,43.29767,-75.61509,2021,5,6,100
Cortland,Marathon,New York State Electric & Gas,National Grid,13663.0,Other,1940,2494,1,Home Performance,Single Family,Building Shell,0.0,55.0,6.8679744089702925,0,42.4415195,-76.0365452,2021,4,20,81
Oneida,Clayville,National Grid,National Grid,5257.0,Oil,1979,994,1,Home Performance,Mobile,Building Shell,510.0,13.0,5.814130531825066,0,42.97894,-75.24988,2021,3,30,42
Otsego,Mohawk,National Grid,National Grid,4982.0,Propane,1992,980,1,Home Performance,Mobile,Building Shell,400.0,6.0,5.111987788356544,0,43.01129,-75.00465,2021,3,30,29
Erie,Lawtons,National Fuel Gas Distribution,National Grid,5730.0,Propane,1977,2953,1,Home Performance,Single Family,Building Shell,1291.0,11.0,6.016157159698354,0,42.53725,-78.9316132,2021,1,26,44
Saratoga,Ballston Spa,National Grid,National Grid,6992.0,Propane,1991,1248,1,Home Performance,Mobile,Building Shell,443.0,22.0,6.45833828334479,0,43.006105,-73.851605,2021,1,19,30
Oswego,Pulaski,National Grid,National Grid,7954.0,Propane,1981,924,1,Home Performance,Mobile,Building Shell,132.0,16.0,6.008813185442595,0,43.566945,-76.128275,2020,12,1,39
Chenango,Norwich,New York State Electric & Gas,New York State Electric & Gas,2915.0,Oil,1936,1056,1,Home Performance,Single Family,Building Shell,427.0,12.0,5.645446897643238,0,42.5311852,-75.521324,2020,12,1,84
Fulton,Dolgeville,National Grid,National Grid,5616.0,Oil,1972,1296,1,Home Performance,Single Family,Building Shell,510.0,38.0,6.569481420414296,0,43.10185,-74.77389,2020,11,3,48
Onondaga,Syracuse,National Grid,National Grid,6866.0,Natural Gas,1951,972,1,Home Performance,Single Family,Building Shell,510.0,43.0,6.0112671744041615,0,43.0200289,-76.1626311,2020,9,3,69
Cayuga,Sterling,Rochester Gas & Electric,Rochester Gas & Electric,4859.0,Propane,1994,924,1,Home Performance,Mobile,Building Shell,0.0,40.0,6.895682697747868,0,43.31597,-76.703585,2020,8,20,26
Queens,Queens,National Grid,Consolidated Edison,5412.0,Natural Gas,1928,1248,1,Home Performance,Single Family,Building Shell,510.0,36.0,6.26530121273771,0,40.764105,-73.874425,2020,3,25,92
Oneida,Utica,National Grid,National Grid,4721.0,Natural Gas,1948,882,1,Home Performance,Single Family,Building Shell,0.0,17.0,4.969813299576001,0,43.1010822,-75.2472726,2020,3,18,72
Oneida,Clinton,National Grid,National Grid,5480.0,Natural Gas,1925,1774,1,Home Performance,Single Family,Building Shell,368.0,29.0,5.627621113690637,0,43.04923,-75.38455,2020,3,3,95
Oneida,Utica,National Grid,National Grid,1191.0,Electric,1942,1556,1,Home Performance,Single Family,Building Shell,510.0,2.0,4.276666119016055,0,43.1010822,-75.2472726,2020,3,3,78
Oswego,Oswego,National Grid,National Grid,1329.0,Natural Gas,1966,896,1,Home Performance,Single Family,Building Shell,510.0,6.0,4.61512051684126,0,43.457085,-76.499485,2020,2,18,54
Tompkins,Ithaca,New York State Electric & Gas,New York State Electric & Gas,6640.0,Propane,1996,910,1,Home Performance,Mobile,Building Shell,0.0,25.0,6.683360945766275,0,42.444575,-76.5001,2020,1,20,24
Columbia,Chatham,National Grid,New York State Electric & Gas,2000.0,Propane,1999,980,1,Home Performance,Mobile,Building Shell,343.0,1.0,4.189654742026425,0,42.359395,-73.599105,2020,1,7,21
Franklin,Malone,National Grid,National Grid,1891.0,Oil,1949,1250,1,Home Performance,Single Family,Building Shell,1317.0,3.0,5.2574953720277815,0,44.850165,-74.294435,2019,12,6,70
Oswego,Fulton,National Grid,National Grid,8655.0,Propane,1986,1056,1,Home Performance,Mobile,Building Shell,410.0,25.0,6.511745329644728,0,43.325035,-76.41174,2019,12,3,33
Oswego,Oswego,National Grid,National Grid,9219.0,Electric,1974,1112,1,Home Performance,Mobile,Building Shell,9657.0,2.0,6.930494765951626,0,43.457085,-76.499485,2019,11,22,45
Erie,Buffalo,National Fuel Gas Distribution,National Grid,5027.0,Natural Gas,1921,2340,1,Home Performance,Single Family,Building Shell,510.0,46.0,5.978885764901122,0,42.820135,-78.82654,2019,11,22,98
Orange,Otisville,Orange & Rockland,Orange & Rockland,1221.0,Oil,1953,1698,1,Home Performance,Single Family,Building Shell,510.0,3.0,5.043425116919247,0,41.469245,-74.53784,2019,11,22,66
Saratoga,Gansevoort,National Grid,National Grid,1156.0,Propane,1996,1064,1,Home Performance,Mobile,Building Shell,865.0,4.0,5.3706380281276624,0,43.134105,-73.76468,2019,10,24,23
Oneida,Lee Center,National Grid,National Grid,6713.0,Other,1985,858,1,Home Performance,Mobile,Building Shell,0.0,25.0,6.230481447578482,0,43.302289,-75.5188154,2019,10,17,34
Wayne,Macedon,Rochester Gas & Electric,Rochester Gas & Electric,6078.0,Propane,1984,840,1,Home Performance,Mobile,Building Shell,368.0,32.0,7.0825485693553,0,43.0644068,-77.31804,2019,10,7,35
Oneida,Utica,National Grid,National Grid,12653.0,Oil,1952,1351,1,Home Performance,Single Family,Building Shell,0.0,75.0,7.187657164114956,0,43.1010822,-75.2472726,2019,10,4,67
Columbia,Hudson,National Grid,National Grid,6571.0,Oil,1940,800,1,Home Performance,Single Family,Building Shell,568.0,57.0,6.80128303447162,0,42.251635,-73.78808,2019,9,30,79
Onondaga,Syracuse,National Grid,National Grid,4834.0,Natural Gas,1918,1140,1,Home Performance,Single Family,Building Shell,0.0,24.0,5.278114659230517,0,43.0257179,-76.1480025,2019,9,25,101
Oswego,Hannibal,National Grid,National Grid,5365.0,Propane,1977,1064,1,Home Performance,Mobile,Building Shell,0.0,11.0,5.652489180268651,0,43.31688,-76.57583,2019,9,9,42
Oneida,Remsen,National Grid,National Grid,3713.0,Oil,1998,1836,1,Home Performance,Single Family,Building Shell,510.0,10.0,5.814130531825066,0,43.3244276,-75.1890252,2019,8,20,21
Tioga,Waverly,Unknown,Municipal,2245.0,Natural Gas,2002,1768,1,Home Performance,Mobile,Building Shell,0.0,12.0,4.7535901911063645,0,42.0063557,-76.5395682,2019,7,11,17
Oneida,Ava,National Grid,National Grid,5793.0,Oil,1971,1228,1,Home Performance,Single Family,Building Shell,301.0,35.0,6.4692503167957724,0,43.3012781,-75.4464436,2019,6,28,48
Cortland,Truxton,New York State Electric & Gas,National Grid,1726.0,Propane,1951,3250,1,Home Performance,Single Family,Building Shell,853.0,2.0,5.14166355650266,0,42.71195,-76.02915,2019,5,31,68
Warren,Athol,National Grid,National Grid,5752.0,Propane,1994,1199,1,Home Performance,Mobile,Building Shell,0.0,29.0,6.561030665896573,0,43.4831,-73.8852403,2019,5,2,25
Oswego,Williamstown,National Grid,National Grid,5967.0,Propane,1987,980,1,Home Performance,Mobile,Building Shell,0.0,24.0,6.61338421837956,0,43.4238102,-75.8870704,2019,4,29,32
Genesee,Elba,National Fuel Gas Distribution,National Grid,5761.0,Propane,1992,1456,1,Home Performance,Mobile,Building Shell,393.0,27.0,5.981414211254481,0,43.0803912,-78.1866858,2019,4,11,27
Herkimer,Ilion,National Grid,Municipal,1346.0,Natural Gas,1942,1480,1,Home Performance,Single Family,Building Shell,0.0,4.0,3.58351893845611,0,43.014355,-75.043565,2019,4,11,77
Wayne,Red Creek,Rochester Gas & Electric,Rochester Gas & Electric,5050.0,Propane,1987,980,1,Home Performance,Mobile,Building Shell,510.0,9.0,5.968707559985366,0,43.2455012,-76.725241,2019,4,1,32
Oneida,Rome,National Grid,National Grid,4286.0,Natural Gas,1945,875,1,Home Performance,Single Family,Building Shell,1704.0,14.0,5.910796644040527,0,43.21118,-75.458425,2019,3,28,74
Oneida,Utica,National Grid,National Grid,5626.0,Natural Gas,1928,1664,1,Home Performance,Single Family,Building Shell,0.0,46.0,6.042632833682381,0,43.09528,-75.22754,2019,3,25,91
Oneida,Clinton,National Grid,National Grid,6848.0,Kerosene,1984,888,1,Home Performance,Mobile,Building Shell,410.0,39.0,6.695798917058491,0,43.04923,-75.38455,2019,2,15,35
Oneida,Forestport,National Grid,National Grid,5754.0,Kerosene,1979,960,1,Home Performance,Mobile,Building Shell,343.0,19.0,6.129050210060545,0,43.43901,-75.202225,2019,2,15,40
Oneida,Utica,National Grid,National Grid,5669.0,Natural Gas,1921,1364,1,Home Performance,Single Family,Building Shell,510.0,44.0,6.159095388491933,0,43.09528,-75.22754,2019,2,11,98
Wayne,Lyons,New York State Electric & Gas,New York State Electric & Gas,4479.0,Propane,1988,800,1,Home Performance,Single Family,Building Shell,368.0,23.0,6.431331081933479,0,43.064965,-76.99033,2019,1,28,31
Tompkins,Ithaca,New York State Electric & Gas,New York State Electric & Gas,4392.0,Propane,1997,1500,1,Home Performance,Mobile,Building Shell,410.0,19.0,6.297109319933935,0,42.444575,-76.5001,2018,12,3,21
Queens,Queens,National Grid,Consolidated Edison,4628.0,Natural Gas,1961,1248,1,Home Performance,Single Family,Building Shell,443.0,27.0,6.089044875446846,0,40.69992,-73.80949,2018,12,3,57
Oneida,Rome,National Grid,National Grid,6371.0,Propane,1981,840,1,Home Performance,Mobile,Building Shell,259.0,26.0,6.47543271670409,0,43.21118,-75.458425,2018,11,9,37
Chautauqua,Ashville,National Fuel Gas Distribution,National Grid,5007.0,Propane,2004,1624,1,Home Performance,Mobile,Building Shell,510.0,31.0,6.687108607866515,0,42.0936427,-79.3746095,2018,9,24,14
Cortland,Cortland,New York State Electric & Gas,National Grid,2457.0,Propane,1997,960,1,Home Performance,Mobile,Building Shell,343.0,17.0,6.184148890937483,0,42.600225,-76.18184,2018,9,6,21
Orange,Monroe,Orange & Rockland,Orange & Rockland,5131.0,Natural Gas,1971,2000,1,Home Performance,Single Family,Building Shell,0.0,23.0,5.780743515792329,0,41.33131,-74.188885,2018,8,6,47
Oneida,Lee Cener,National Grid,National Grid,5622.0,Kerosene,1985,840,1,Home Performance,Mobile,Building Shell,301.0,21.0,5.918893854273146,0,43.302289,-75.5188154,2018,7,26,33
Oneida,Rome,National Grid,National Grid,7299.0,Natural Gas,1953,1716,1,Home Performance,Single Family,Building Shell,0.0,68.0,6.434546518787453,0,43.21118,-75.458425,2018,6,28,65
Oswego,Hannibal,National Grid,National Grid,5681.0,Wood,1993,980,1,Home Performance,Mobile,Building Shell,0.0,42.0,6.161207321695077,0,43.31688,-76.57583,2018,6,18,25
Oneida,Utica,National Grid,National Grid,2215.0,Natural Gas,1961,2399,1,Home Performance,Single Family,Building Shell,494.0,12.0,5.176149732573829,0,43.1010822,-75.2472726,2018,5,18,57
Onondaga,Delphi,National Grid,National Grid,5039.0,Propane,1991,840,1,Home Performance,Mobile,Building Shell,301.0,16.0,6.194405391104672,0,42.87772,-75.913565,2018,4,13,27
Oneida,Boonville,National Grid,Municipal,6835.0,Wood,1964,875,1,Home Performance,Single Family,Building Shell,0.0,67.0,6.411818267709897,0,43.48398,-75.335415,2018,3,28,54
Saratoga,Rock City Falls,National Grid,National Grid,1016.0,Propane,1994,980,1,Home Performance,Mobile,Building Shell,510.0,9.0,5.4510384535657,0,43.06062,-73.9172,2018,3,28,24
Oswego,Hannibal,National Grid,National Grid,5731.0,Propane,1920,1296,1,Home Performance,Single Family,Building Shell,510.0,34.0,6.863803391452954,0,43.31688,-76.57583,2018,2,12,98
Oneida,Sherrill,National Grid,Municipal,4998.0,Oil,1957,1200,1,Home Performance,Single Family,Building Shell,0.0,25.0,6.016157159698354,0,43.069655,-75.601065,2018,2,12,61
Niagara,Sanborn,National Fuel Gas Distribution,National Grid,3048.0,Natural Gas,1984,802,1,Home Performance,Mobile,Building Shell,0.0,15.0,5.476463551931511,0,43.140465,-78.885555,2018,1,4,34
Queens,Queens,National Grid,Consolidated Edison,9998.0,Natural Gas,1949,1860,1,Home Performance,Single Family,Building Shell,320.0,63.0,6.625392368007956,0,40.698085,-73.834705,2022,5,31,73
Monroe,Rochester,Rochester Gas & Electric,Rochester Gas & Electric,6388.0,Natural Gas,1925,1331,1,Home Performance,Single Family,Building Shell,596.0,22.0,5.54907608489522,0,43.181935,-77.60976,2023,5,16,98
Monroe,Rochester,Rochester Gas & Electric,Rochester Gas & Electric,11238.0,Natural Gas,1920,1456,1,Home Performance,Single Family,Building Shell,774.0,35.0,5.961005339623274,0,43.22041,-77.64325,2022,12,20,102
Monroe,Rochester,Rochester Gas & Electric,Rochester Gas & Electric,11755.0,Natural Gas,1947,1358,1,Home Performance,Single Family,Building Shell,-430.0,42.0,5.82600010738045,0,43.21119,-77.696605,2023,6,15,76
Monroe,Hilton,Rochester Gas & Electric,Rochester Gas & Electric,14782.0,Natural Gas,1925,2188,1,Home Performance,Single Family,Building Shell,368.0,38.0,5.908082938168931,0,43.289475,-77.78763,2022,6,7,97
Bronx,The Bronx,Consolidated Edison,Consolidated Edison,1324.0,Natural Gas,1944,1197,1,Electric Reduction,Single Family,Building Shell,734.0,2.0,5.247024072160486,0,40.874915,-73.867125,2022,3,17,78
Orleans,Albion,New York State Electric & Gas,National Grid,1900.0,Natural Gas,1942,1536,1,Home Performance,Single Family,Building Shell,259.0,5.0,4.3694478524670215,0,43.243405,-78.193475,2022,1,11,80
Erie,Cheektowaga,National Fuel Gas Distribution,New York State Electric & Gas,5697.0,Natural Gas,1899,1296,1,Home Performance,Single Family,Building Shell,0.0,45.0,5.950642552587727,0,42.884806082,-78.750933104,2022,3,18,123
Kings,Brooklyn,National Grid,Consolidated Edison,13769.0,Natural Gas,1935,1762,2,Home Performance,Single Family,Building Shell,545.0,69.0,7.151485463904735,0,40.644345,-73.905535,2023,6,13,88
Suffolk,Bay Shore,National Grid,New York State Electric & Gas,4912.0,Natural Gas,1954,1190,1,Home Performance,Single Family,Building Shell,224.0,17.0,5.796057750765372,0,40.7265495,-73.2512226,2023,6,29,69
Allegany,Friendship,National Fuel Gas Distribution,Rochester Gas & Electric,12068.0,Natural Gas,1938,1690,1,Home Performance,Single Family,Building Shell,1052.0,57.0,6.395261598115449,0,42.2107053,-78.1354188,2022,10,6,84
Jefferson,Theresa,National Grid,National Grid,8646.0,Propane,1992,1600,1,Home Performance,Mobile,Building Shell,906.0,34.0,7.273092595999522,0,44.21656,-75.79918,2022,3,22,30
Oswego,Fulton,National Grid,National Grid,3135.0,Natural Gas,1930,2328,2,Home Performance,Single Family,Building Shell,510.0,27.0,5.869296913133774,0,43.325035,-76.41174,2022,3,31,92
Oneida,Holland Patent,National Grid,National Grid,5959.0,Kerosene,1943,1917,1,Home Performance,Single Family,Building Shell,26.0,16.0,6.095824562432225,0,43.2437358,-75.2562974,2023,3,9,80
Cortland,Truxton,New York State Electric & Gas,National Grid,13022.0,Oil,1917,1730,1,Home Performance,Single Family,Building Shell,269.0,43.0,6.88653164253051,0,42.71195,-76.02915,2023,2,28,106
Monroe,Rochester,Rochester Gas & Electric,Rochester Gas & Electric,12867.0,Natural Gas,1929,1469,1,Home Performance,Single Family,Building Shell,1160.0,47.0,6.270988431858299,0,43.1983016,-77.6344761,2023,1,25,94
Herkimer,West Winfield,New York State Electric & Gas,New York State Electric & Gas,10838.0,Oil,1929,3512,1,Home Performance,Single Family,Building Shell,596.0,70.0,7.3758821482150125,0,42.88617,-75.189695,2023,3,7,94
Dutchess,Fishkill,Central Hudson Gas & Electric,Central Hudson Gas & Electric,7477.0,Propane,1995,938,1,Home Performance,Mobile,Building Shell,510.0,14.0,6.51471269087253,0,41.53425,-73.901355,2022,5,12,27
Niagara,Niagara Falls,National Fuel Gas Distribution,National Grid,1476.0,Natural Gas,1915,1232,1,Home Performance,Single Family,Building Shell,4.0,1.0,2.0794415416798357,0,43.090764,-78.96109,2022,11,11,107
Cortland,Cortland,New York State Electric & Gas,National Grid,2334.0,Natural Gas,1934,800,1,Home Performance,Single Family,Building Shell,314.0,10.0,4.948759890378168,0,42.600225,-76.18184,2022,8,25,88
Oneida,Remsen,National Grid,National Grid,6864.0,Wood,1944,1344,1,Home Performance,Single Family,Building Shell,477.0,127.0,7.889459149404524,0,43.3244276,-75.1890252,2022,7,19,78
Seneca,Seneca Falls,New York State Electric & Gas,New York State Electric & Gas,4436.0,Natural Gas,1958,1335,1,Home Performance,Single Family,Building Shell,510.0,32.0,5.924255797414532,0,42.91278,-76.795365,2022,1,27,64
Queens,Queens,National Grid,Consolidated Edison,12853.0,Oil,1938,1876,1,Home Performance,Single Family,Building Shell,649.0,69.0,7.917536353943631,0,40.67144,-73.81526,2023,5,16,85
Orange,Monroe,Orange & Rockland,Orange & Rockland,8066.0,Natural Gas,1966,1926,1,Home Performance,Single Family,Building Shell,105.0,20.0,5.529429087511423,0,41.33131,-74.188885,2023,1,10,57
